channel_index,phase_index,phase_time,phase_score,phase_type
0,1248,2025-04-23T12:32:42.480,0.418,S
0,1283,2025-04-23T12:32:42.830,0.961,S
1,1284,2025-04-23T12:32:42.840,0.988,S
2,1283,2025-04-23T12:32:42.830,0.996,S
3,1283,2025-04-23T12:32:42.830,1.000,S
4,1283,2025-04-23T12:32:42.830,1.000,S
5,1282,2025-04-23T12:32:42.820,1.000,S
6,1281,2025-04-23T12:32:42.810,1.000,S
7,1260,2025-04-23T12:32:42.600,0.467,S
7,1281,2025-04-23T12:32:42.810,1.000,S
8,1260,2025-04-23T12:32:42.600,0.459,S
8,1281,2025-04-23T12:32:42.810,1.000,S
9,1259,2025-04-23T12:32:42.590,0.449,S
9,1281,2025-04-23T12:32:42.810,1.000,S
10,1259,2025-04-23T12:32:42.590,0.443,S
10,1269,2025-04-23T12:32:42.690,0.314,P
10,1281,2025-04-23T12:32:42.810,1.000,S
11,1257,2025-04-23T12:32:42.570,0.438,S
11,1270,2025-04-23T12:32:42.700,0.332,P
11,1281,2025-04-23T12:32:42.810,1.000,S
12,1256,2025-04-23T12:32:42.560,0.438,S
12,1270,2025-04-23T12:32:42.700,0.344,P
12,1281,2025-04-23T12:32:42.810,1.000,S
13,1257,2025-04-23T12:32:42.570,0.441,S
13,1270,2025-04-23T12:32:42.700,0.352,P
13,1282,2025-04-23T12:32:42.820,1.000,S
14,1256,2025-04-23T12:32:42.560,0.439,S
14,1270,2025-04-23T12:32:42.700,0.357,P
14,1282,2025-04-23T12:32:42.820,1.000,S
15,1256,2025-04-23T12:32:42.560,0.438,S
15,1270,2025-04-23T12:32:42.700,0.359,P
15,1282,2025-04-23T12:32:42.820,1.000,S
16,1257,2025-04-23T12:32:42.570,0.434,S
16,1270,2025-04-23T12:32:42.700,0.359,P
16,1282,2025-04-23T12:32:42.820,1.000,S
17,1257,2025-04-23T12:32:42.570,0.428,S
17,1270,2025-04-23T12:32:42.700,0.357,P
17,1282,2025-04-23T12:32:42.820,1.000,S
18,1257,2025-04-23T12:32:42.570,0.424,S
18,1271,2025-04-23T12:32:42.710,0.354,P
18,1280,2025-04-23T12:32:42.800,0.996,S
19,1257,2025-04-23T12:32:42.570,0.424,S
19,1271,2025-04-23T12:32:42.710,0.350,P
19,1280,2025-04-23T12:32:42.800,0.996,S
20,1257,2025-04-23T12:32:42.570,0.426,S
20,1271,2025-04-23T12:32:42.710,0.346,P
20,1280,2025-04-23T12:32:42.800,0.996,S
21,1257,2025-04-23T12:32:42.570,0.428,S
21,1271,2025-04-23T12:32:42.710,0.342,P
21,1281,2025-04-23T12:32:42.810,0.996,S
22,1257,2025-04-23T12:32:42.570,0.426,S
22,1271,2025-04-23T12:32:42.710,0.338,P
22,1281,2025-04-23T12:32:42.810,0.996,S
23,1257,2025-04-23T12:32:42.570,0.424,S
23,1271,2025-04-23T12:32:42.710,0.338,P
23,1281,2025-04-23T12:32:42.810,0.996,S
24,1257,2025-04-23T12:32:42.570,0.420,S
24,1272,2025-04-23T12:32:42.720,0.350,P
24,1282,2025-04-23T12:32:42.820,0.996,S
25,1253,2025-04-23T12:32:42.530,0.412,S
25,1272,2025-04-23T12:32:42.720,0.365,P
25,1281,2025-04-23T12:32:42.810,0.992,S
26,1252,2025-04-23T12:32:42.520,0.416,S
26,1272,2025-04-23T12:32:42.720,0.389,P
26,1282,2025-04-23T12:32:42.820,0.992,S
26,1301,2025-04-23T12:32:43.010,0.578,S
27,1251,2025-04-23T12:32:42.510,0.410,S
27,1272,2025-04-23T12:32:42.720,0.414,P
27,1282,2025-04-23T12:32:42.820,0.988,S
27,1301,2025-04-23T12:32:43.010,0.559,S
28,1250,2025-04-23T12:32:42.500,0.406,S
28,1272,2025-04-23T12:32:42.720,0.443,P
28,1282,2025-04-23T12:32:42.820,0.984,S
28,1301,2025-04-23T12:32:43.010,0.559,S
29,1250,2025-04-23T12:32:42.500,0.400,S
29,1272,2025-04-23T12:32:42.720,0.475,P
29,1281,2025-04-23T12:32:42.810,0.977,S
29,1301,2025-04-23T12:32:43.010,0.559,S
30,1250,2025-04-23T12:32:42.500,0.395,S
30,1272,2025-04-23T12:32:42.720,0.508,P
30,1281,2025-04-23T12:32:42.810,0.969,S
30,1300,2025-04-23T12:32:43.000,0.570,S
31,1250,2025-04-23T12:32:42.500,0.385,S
31,1272,2025-04-23T12:32:42.720,0.531,P
31,1280,2025-04-23T12:32:42.800,0.961,S
31,1300,2025-04-23T12:32:43.000,0.582,S
32,1250,2025-04-23T12:32:42.500,0.375,S
32,1272,2025-04-23T12:32:42.720,0.551,P
32,1280,2025-04-23T12:32:42.800,0.949,S
32,1300,2025-04-23T12:32:43.000,0.570,S
33,1250,2025-04-23T12:32:42.500,0.365,S
33,1272,2025-04-23T12:32:42.720,0.559,P
33,1280,2025-04-23T12:32:42.800,0.941,S
33,1300,2025-04-23T12:32:43.000,0.559,S
34,1250,2025-04-23T12:32:42.500,0.355,S
34,1272,2025-04-23T12:32:42.720,0.562,P
34,1280,2025-04-23T12:32:42.800,0.930,S
34,1300,2025-04-23T12:32:43.000,0.531,S
35,1247,2025-04-23T12:32:42.470,0.355,S
35,1272,2025-04-23T12:32:42.720,0.566,P
35,1280,2025-04-23T12:32:42.800,0.914,S
35,1299,2025-04-23T12:32:42.990,0.504,S
36,1247,2025-04-23T12:32:42.470,0.359,S
36,1273,2025-04-23T12:32:42.730,0.574,P
36,1280,2025-04-23T12:32:42.800,0.898,S
36,1299,2025-04-23T12:32:42.990,0.496,S
37,1247,2025-04-23T12:32:42.470,0.363,S
37,1273,2025-04-23T12:32:42.730,0.586,P
37,1279,2025-04-23T12:32:42.790,0.875,S
37,1299,2025-04-23T12:32:42.990,0.484,S
38,1246,2025-04-23T12:32:42.460,0.363,S
38,1273,2025-04-23T12:32:42.730,0.594,P
38,1279,2025-04-23T12:32:42.790,0.855,S
38,1299,2025-04-23T12:32:42.990,0.484,S
39,1246,2025-04-23T12:32:42.460,0.363,S
39,1273,2025-04-23T12:32:42.730,0.613,P
39,1279,2025-04-23T12:32:42.790,0.836,S
39,1298,2025-04-23T12:32:42.980,0.480,S
40,1246,2025-04-23T12:32:42.460,0.361,S
40,1273,2025-04-23T12:32:42.730,0.652,P
40,1279,2025-04-23T12:32:42.790,0.816,S
40,1298,2025-04-23T12:32:42.980,0.465,S
41,1246,2025-04-23T12:32:42.460,0.361,S
41,1264,2025-04-23T12:32:42.640,0.328,S
41,1273,2025-04-23T12:32:42.730,0.695,P
41,1279,2025-04-23T12:32:42.790,0.801,S
41,1298,2025-04-23T12:32:42.980,0.447,S
42,1246,2025-04-23T12:32:42.460,0.365,S
42,1252,2025-04-23T12:32:42.520,0.316,P
42,1273,2025-04-23T12:32:42.730,0.738,P
42,1279,2025-04-23T12:32:42.790,0.781,S
42,1298,2025-04-23T12:32:42.980,0.408,S
43,1246,2025-04-23T12:32:42.460,0.371,S
43,1252,2025-04-23T12:32:42.520,0.318,P
43,1273,2025-04-23T12:32:42.730,0.766,P
43,1279,2025-04-23T12:32:42.790,0.754,S
44,1246,2025-04-23T12:32:42.460,0.377,S
44,1252,2025-04-23T12:32:42.520,0.316,P
44,1273,2025-04-23T12:32:42.730,0.781,P
44,1279,2025-04-23T12:32:42.790,0.734,S
45,1246,2025-04-23T12:32:42.460,0.383,S
45,1252,2025-04-23T12:32:42.520,0.316,P
45,1273,2025-04-23T12:32:42.730,0.793,P
45,1279,2025-04-23T12:32:42.790,0.715,S
45,1297,2025-04-23T12:32:42.970,0.373,S
46,1246,2025-04-23T12:32:42.460,0.385,S
46,1252,2025-04-23T12:32:42.520,0.316,P
46,1273,2025-04-23T12:32:42.730,0.797,P
46,1279,2025-04-23T12:32:42.790,0.695,S
46,1296,2025-04-23T12:32:42.960,0.396,S
47,1246,2025-04-23T12:32:42.460,0.387,S
47,1252,2025-04-23T12:32:42.520,0.316,P
47,1273,2025-04-23T12:32:42.730,0.797,P
47,1279,2025-04-23T12:32:42.790,0.680,S
47,1296,2025-04-23T12:32:42.960,0.414,S
48,1246,2025-04-23T12:32:42.460,0.391,S
48,1252,2025-04-23T12:32:42.520,0.316,P
48,1273,2025-04-23T12:32:42.730,0.785,P
48,1279,2025-04-23T12:32:42.790,0.664,S
48,1296,2025-04-23T12:32:42.960,0.434,S
49,1245,2025-04-23T12:32:42.450,0.395,S
49,1251,2025-04-23T12:32:42.510,0.318,P
49,1273,2025-04-23T12:32:42.730,0.770,P
49,1279,2025-04-23T12:32:42.790,0.648,S
49,1296,2025-04-23T12:32:42.960,0.459,S
50,1245,2025-04-23T12:32:42.450,0.408,S
50,1251,2025-04-23T12:32:42.510,0.322,P
50,1273,2025-04-23T12:32:42.730,0.746,P
50,1280,2025-04-23T12:32:42.800,0.629,S
50,1296,2025-04-23T12:32:42.960,0.475,S
51,1245,2025-04-23T12:32:42.450,0.418,S
51,1250,2025-04-23T12:32:42.500,0.324,P
51,1272,2025-04-23T12:32:42.720,0.727,P
51,1280,2025-04-23T12:32:42.800,0.605,S
51,1296,2025-04-23T12:32:42.960,0.500,S
52,1245,2025-04-23T12:32:42.450,0.430,S
52,1249,2025-04-23T12:32:42.490,0.326,P
52,1272,2025-04-23T12:32:42.720,0.715,P
52,1280,2025-04-23T12:32:42.800,0.586,S
52,1296,2025-04-23T12:32:42.960,0.512,S
53,1245,2025-04-23T12:32:42.450,0.439,S
53,1249,2025-04-23T12:32:42.490,0.328,P
53,1272,2025-04-23T12:32:42.720,0.699,P
53,1280,2025-04-23T12:32:42.800,0.566,S
53,1296,2025-04-23T12:32:42.960,0.520,S
54,1245,2025-04-23T12:32:42.450,0.443,S
54,1249,2025-04-23T12:32:42.490,0.328,P
54,1273,2025-04-23T12:32:42.730,0.691,P
54,1280,2025-04-23T12:32:42.800,0.551,S
54,1295,2025-04-23T12:32:42.950,0.527,S
55,1245,2025-04-23T12:32:42.450,0.449,S
55,1249,2025-04-23T12:32:42.490,0.326,P
55,1273,2025-04-23T12:32:42.730,0.688,P
55,1280,2025-04-23T12:32:42.800,0.547,S
55,1295,2025-04-23T12:32:42.950,0.527,S
56,1245,2025-04-23T12:32:42.450,0.451,S
56,1249,2025-04-23T12:32:42.490,0.326,P
56,1273,2025-04-23T12:32:42.730,0.695,P
56,1280,2025-04-23T12:32:42.800,0.543,S
56,1291,2025-04-23T12:32:42.910,0.520,S
57,1245,2025-04-23T12:32:42.450,0.449,S
57,1249,2025-04-23T12:32:42.490,0.326,P
57,1273,2025-04-23T12:32:42.730,0.711,P
57,1280,2025-04-23T12:32:42.800,0.543,S
57,1291,2025-04-23T12:32:42.910,0.527,S
58,1245,2025-04-23T12:32:42.450,0.451,S
58,1249,2025-04-23T12:32:42.490,0.326,P
58,1273,2025-04-23T12:32:42.730,0.734,P
58,1280,2025-04-23T12:32:42.800,0.543,S
58,1291,2025-04-23T12:32:42.910,0.531,S
59,1245,2025-04-23T12:32:42.450,0.451,S
59,1249,2025-04-23T12:32:42.490,0.326,P
59,1273,2025-04-23T12:32:42.730,0.750,P
59,1280,2025-04-23T12:32:42.800,0.539,S
59,1291,2025-04-23T12:32:42.910,0.523,S
60,1245,2025-04-23T12:32:42.450,0.453,S
60,1249,2025-04-23T12:32:42.490,0.326,P
60,1273,2025-04-23T12:32:42.730,0.770,P
60,1280,2025-04-23T12:32:42.800,0.531,S
60,1291,2025-04-23T12:32:42.910,0.512,S
61,1245,2025-04-23T12:32:42.450,0.457,S
61,1249,2025-04-23T12:32:42.490,0.326,P
61,1273,2025-04-23T12:32:42.730,0.793,P
61,1280,2025-04-23T12:32:42.800,0.516,S
62,1245,2025-04-23T12:32:42.450,0.455,S
62,1249,2025-04-23T12:32:42.490,0.326,P
62,1273,2025-04-23T12:32:42.730,0.816,P
62,1280,2025-04-23T12:32:42.800,0.498,S
63,1245,2025-04-23T12:32:42.450,0.455,S
63,1249,2025-04-23T12:32:42.490,0.326,P
63,1273,2025-04-23T12:32:42.730,0.836,P
63,1280,2025-04-23T12:32:42.800,0.482,S
64,1245,2025-04-23T12:32:42.450,0.453,S
64,1249,2025-04-23T12:32:42.490,0.326,P
64,1273,2025-04-23T12:32:42.730,0.836,P
64,1280,2025-04-23T12:32:42.800,0.465,S
64,1291,2025-04-23T12:32:42.910,0.467,S
65,1245,2025-04-23T12:32:42.450,0.447,S
65,1249,2025-04-23T12:32:42.490,0.326,P
65,1273,2025-04-23T12:32:42.730,0.812,P
65,1291,2025-04-23T12:32:42.910,0.475,S
66,1245,2025-04-23T12:32:42.450,0.445,S
66,1249,2025-04-23T12:32:42.490,0.326,P
66,1272,2025-04-23T12:32:42.720,0.750,P
66,1291,2025-04-23T12:32:42.910,0.486,S
67,1245,2025-04-23T12:32:42.450,0.443,S
67,1249,2025-04-23T12:32:42.490,0.326,P
67,1272,2025-04-23T12:32:42.720,0.684,P
67,1291,2025-04-23T12:32:42.910,0.500,S
68,1245,2025-04-23T12:32:42.450,0.445,S
68,1249,2025-04-23T12:32:42.490,0.326,P
68,1269,2025-04-23T12:32:42.690,0.385,S
68,1272,2025-04-23T12:32:42.720,0.609,P
68,1291,2025-04-23T12:32:42.910,0.523,S
69,1245,2025-04-23T12:32:42.450,0.449,S
69,1249,2025-04-23T12:32:42.490,0.326,P
69,1269,2025-04-23T12:32:42.690,0.432,S
69,1272,2025-04-23T12:32:42.720,0.551,P
69,1291,2025-04-23T12:32:42.910,0.551,S
70,1245,2025-04-23T12:32:42.450,0.449,S
70,1249,2025-04-23T12:32:42.490,0.326,P
70,1269,2025-04-23T12:32:42.690,0.477,S
70,1273,2025-04-23T12:32:42.730,0.504,P
70,1291,2025-04-23T12:32:42.910,0.578,S
71,1245,2025-04-23T12:32:42.450,0.449,S
71,1249,2025-04-23T12:32:42.490,0.326,P
71,1269,2025-04-23T12:32:42.690,0.527,S
71,1273,2025-04-23T12:32:42.730,0.467,P
71,1291,2025-04-23T12:32:42.910,0.605,S
72,1244,2025-04-23T12:32:42.440,0.447,S
72,1249,2025-04-23T12:32:42.490,0.326,P
72,1269,2025-04-23T12:32:42.690,0.578,S
72,1274,2025-04-23T12:32:42.740,0.455,P
72,1292,2025-04-23T12:32:42.920,0.629,S
73,1244,2025-04-23T12:32:42.440,0.445,S
73,1249,2025-04-23T12:32:42.490,0.326,P
73,1269,2025-04-23T12:32:42.690,0.633,S
73,1275,2025-04-23T12:32:42.750,0.471,P
73,1292,2025-04-23T12:32:42.920,0.645,S
74,1244,2025-04-23T12:32:42.440,0.447,S
74,1249,2025-04-23T12:32:42.490,0.326,P
74,1269,2025-04-23T12:32:42.690,0.684,S
74,1275,2025-04-23T12:32:42.750,0.508,P
74,1292,2025-04-23T12:32:42.920,0.660,S
75,1244,2025-04-23T12:32:42.440,0.447,S
75,1269,2025-04-23T12:32:42.690,0.723,S
75,1275,2025-04-23T12:32:42.750,0.551,P
75,1292,2025-04-23T12:32:42.920,0.668,S
76,1244,2025-04-23T12:32:42.440,0.447,S
76,1269,2025-04-23T12:32:42.690,0.754,S
76,1275,2025-04-23T12:32:42.750,0.582,P
76,1292,2025-04-23T12:32:42.920,0.660,S
77,1244,2025-04-23T12:32:42.440,0.451,S
77,1269,2025-04-23T12:32:42.690,0.773,S
